ID,Teff,logg,FeH,L,eTeff,elogg,eFeH,eL,M,R,eM,eR
KIC7833440,0.5126159958829724,-0.543841643516326,-1.959673485659372,0.061320450471472686,0.1590917619397607,0.06372038919454394,0.506922906101297,0.14078505597530713,-0.6380746200169944,0.16630747628340847,0.34659466453283977,0.08427458920471902
HIP97527,0.26723717661995167,0.996031137304571,-0.10423721769637205,-0.6134316326357284,0.218414113849502,0.05273536920619514,0.09843163225267905,0.0024373946409652057,0.9635902570248457,-0.6792037932368038,0.638257432204643,0.08213538046767781
KIC4841753,-0.460809869545055,-1.319051570847396,0.9637459922451955,1.0070295711659727,0.18066352627057572,0.12051591512159862,0.49215816126339523,0.22749022864364918,0.7106958027550813,1.3621019860334238,0.3300756620035523,0.1860565219764761
ASASSN-V_J010440.99+051109.8_B,-3.386291653973947,0.8220044189241251,-0.02549191189422882,-1.3101202675116164,0.1503282326803671,0.358600510602127,0.14272586676638463,0.06702835262654316,-2.101249676863488,-1.2154995127610528,0.012042593060464964,0.14252904257626442
EPIC205974115,-0.042856935635514154,0.4686774452426215,-0.005805585443693063,-0.17835668922343914,0.19144940843598324,0.06328244304743416,0.3937265290107162,0.18724444159282452,-0.2767968282030466,-0.5439219901135697,0.24085186120929925,0.07247239453030394
KIC8216936,0.8092277554316788,-0.6545859188493354,-0.1829825234985153,2.1972906208373146,0.13482352706759382,0.1191244844947878,0.49215816126339523,0.3171017413385321,1.096058780689959,0.7509181254945269,0.5935080625970831,0.2105238244246264
KIC11506988,0.8119242259730307,-0.7758772680235849,-0.7932586434651254,1.2020211424431888,0.7792799864506923,0.13442099006332747,0.49215816126339523,0.2503202155426307,0.3313541213504339,0.6929402098702843,0.8500929514463371,0.08980610269516008
KIC7668623,0.3777924688153786,-1.4878047523072204,0.3190188009901478,1.9795500329110898,0.12943058598489007,0.061559625997300055,0.49215816126339523,0.29931013677499335,1.162293042522517,1.7051379868101955,0.4454003291132511,0.12309221330322341
EW_Ori B,-0.6387769252742789,1.4073670171128947,0.5847842080723812,-1.0208827701170786,0.2561647014284283,0.02636768460309757,0.44294234513705566,0.03696715205463895,-0.43937183451932305,-1.1768475690115574,0.054191668772092326,0.012078732421717324
KIC1725815,1.1139289266044408,-0.8391597110710192,-0.05502140157003256,1.2268013212930018,0.22111058439085388,0.0738295168886732,0.615197701579244,0.23865996656957672,1.4091662002620484,1.0504706895531168,0.7827685489302226,0.1932597187474772
