,number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
70,70,5.79039004768688,2026-06-04 16:13:21.074307,2026-06-04 16:13:23.590693,0 days 00:00:02.516386,0.010420556754354172,5,1,754,0.0017770413392627562,0.0022552871782644027,0.608354271703648,COMPLETE
71,71,5.798538328769332,2026-06-04 16:13:23.593333,2026-06-04 16:13:26.721424,0 days 00:00:03.128091,0.01531107725626073,6,1,661,0.0022037466929015295,0.0014950130759885133,0.6007860856856715,COMPLETE
72,72,5.839315029873381,2026-06-04 16:13:26.724359,2026-06-04 16:13:29.617925,0 days 00:00:02.893566,0.013847319198153718,4,1,710,0.0020997737625569686,0.004126502551979968,0.5867865978769292,COMPLETE
73,73,5.8889175793965896,2026-06-04 16:13:29.620526,2026-06-04 16:13:31.797711,0 days 00:00:02.177185,0.010624093013971495,3,3,1000,0.026359731646720563,0.05869400331438639,0.6453469657829644,COMPLETE
74,74,5.9194171133300015,2026-06-04 16:13:31.800263,2026-06-04 16:13:35.150141,0 days 00:00:03.349878,0.015164101072426911,6,2,853,0.0018316217517979692,0.009629404544866651,0.5480229891400704,COMPLETE
75,75,5.8297976581061945,2026-06-04 16:13:35.153731,2026-06-04 16:13:38.955673,0 days 00:00:03.801942,0.015292145231137894,6,1,696,0.0026532374446257066,0.0015624005572406109,0.620687994200278,COMPLETE
76,76,5.785253535599575,2026-06-04 16:13:38.958334,2026-06-04 16:13:41.497016,0 days 00:00:02.538682,0.011232154821555809,4,2,935,0.001218715309986533,0.001594127803540161,0.5651554434164006,COMPLETE
77,77,5.8559722753133014,2026-06-04 16:13:41.499672,2026-06-04 16:13:44.005732,0 days 00:00:02.506060,0.01769265068941072,3,2,955,0.005216039429444497,0.007683755882462454,0.543557576450314,COMPLETE
78,78,6.182346526563551,2026-06-04 16:13:44.008901,2026-06-04 16:13:46.811809,0 days 00:00:02.802908,0.03267052247374944,5,7,807,0.0021357259084907147,0.002937707756780888,0.5353220671614085,COMPLETE
79,79,5.9378416020021545,2026-06-04 16:13:46.814918,2026-06-04 16:13:48.830742,0 days 00:00:02.015824,0.014344526410523238,3,5,938,0.0013965650694211394,0.00236259075808269,0.722064654566483,COMPLETE
