ID	M	eM1	eM2	R	eR1	eR2	Teff	eTeff1	eTeff2	Fe/H	eFe/H1	eFe/H2	Ref	logg	elogg1	elogg2	logg_from_M,R	L	eL1	eL2	L_from_SB	class	type	orbit_a	eOrbit_a	R/a	detached	well_detached	source	mode	database
KIC11083308	1.305	0.082462113	0.076550637	2.084	0.082734515	0.076537572	6234.0	65.0	65.0	-0.042	0.1	0.1	NA	3.915	0.022561028	0.022561028	NA	6.828	0.577672496	0.577672496	NA	MS	F	NA	NA	NA	NA	NA	serenelli17	A	1
KIC11098033	1.38	0.21	0.14	2.26	0.12	0.09	6358.0	66.0	66.0	-0.14	0.2	0.15	NA	3.877	0.024	0.027	NA	6.502	0.578005387	0.578005387	NA	MS	F	NA	NA	NA	NA	NA	C14sdss	A	1
KIC11127479	1.162	0.057245087	0.060835845	1.372	0.023706539	0.024596748	5998.0	57.0	57.0	0.2	0.072111026	0.072111026	NA	4.228	0.01	0.010816654	NA	2.257	0.193984784	0.193984784	NA	MS	G	NA	NA	NA	NA	NA	serenelli17	A	1
KIC11133100	1.4	0.25	0.17	2.37	0.14	0.13	6222.0	51.0	51.0	0.0	0.15	0.15	NA	3.849	0.025	0.027	NA	15.06	1.32370116	1.32370116	NA	MS	F	NA	NA	NA	NA	NA	C14sdss	A	1
KIC11133306	1.059	0.04	0.03	1.189	0.012	0.012	5982.0	82.0	82.0	-0.025	0.072111026	0.072111026	NA	4.314	0.004	0.007	NA	1.628	0.092	0.079	NA	MS	G	NA	NA	NA	NA	NA	silva15	A	1
KIC11138101	1.305	0.062936476	0.062225397	2.332	0.081344945	0.076694198	6218.0	58.0	58.0	-0.219	0.101	0.101	NA	3.817	0.020396078	0.021377558	NA	8.626	0.71597627	0.71597627	NA	MS	F	NA	NA	NA	NA	NA	serenelli17	A	1
KIC11188219	1.153	0.062128898	0.062968246	1.344	0.035468296	0.034539832	6024.0	62.0	62.0	0.089	0.1	0.1	NA	4.242	0.017464249	0.017464249	NA	2.057	0.17333814	0.17333814	NA	MS	F	NA	NA	NA	NA	NA	serenelli17	A	1
KIC11189107	1.52	0.18	0.15	2.26	0.13	0.1	6795.0	94.0	94.0	-0.1	0.15	0.1	NA	3.909	0.027	0.026	NA	10.05	0.864098657	0.864098657	NA	MS	F	NA	NA	NA	NA	NA	C14sdss	A	1
KIC11229052	1.27	0.12	0.15	1.48	0.05	0.07	6495.0	51.0	51.0	-0.02	0.15	0.15	NA	4.198	0.015	0.017	NA	3.473	0.296828764	0.296828764	NA	MS	F	NA	NA	NA	NA	NA	C14sdss	A	1
KIC11389393	1.403	0.082758685	0.142270868	1.905	0.072111026	0.075471849	6174.0	66.0	66.0	0.14	0.1	0.1	NA	4.019	0.015297059	0.016278821	NA	4.74	0.376421965	0.376421965	NA	MS	F	NA	NA	NA	NA	NA	serenelli17	A	1
KIC11389437	1.192	0.101921538	0.048826222	1.69	0.047010637	0.035510562	6158.0	53.0	53.0	-0.023	0.099	0.099	NA	4.059	0.0117047	0.01077033	NA	3.883	0.311500816	0.311500816	NA	MS	F	NA	NA	NA	NA	NA	serenelli17	A	1
KIC11401755	1.059	0.03	0.021	1.632	0.015	0.021	5911.0	66.0	66.0	-0.179	0.072111026	0.072111026	NA	4.039	0.004	0.004	NA	2.982	0.144	0.148	NA	MS	G	NA	NA	NA	NA	NA	silva15	A	1
KIC11453915	1.25	0.06	0.09	1.22	0.03	0.03	6608.0	58.0	58.0	-0.12	0.15	0.15	NA	4.359	0.011	0.013	NA	2.146	0.178748413	0.178748413	NA	MS	F	NA	NA	NA	NA	NA	C14sdss	A	1
KIC11454149	1.141	0.055803226	0.056612719	1.153	0.030083218	0.029154759	6435.0	52.0	52.0	-0.233	0.1	0.1	NA	4.37	0.016763055	0.017720045	NA	1.866	0.155988512	0.155988512	NA	MS	F	NA	NA	NA	NA	NA	serenelli17	A	1
KIC11456910	1.3	0.11	0.17	1.71	0.07	0.08	6386.0	61.0	61.0	-0.26	0.15	0.15	NA	4.082	0.019	0.02	NA	3.678	0.320896125	0.320896125	NA	MS	F	NA	NA	NA	NA	NA	C14sdss	A	1
KIC11460626	1.286	0.055865911	0.058796258	2.172	0.069641941	0.06685058	6176.0	62.0	62.0	-0.144	0.099	0.099	NA	3.872	0.019416488	0.019416488	NA	6.979	0.623290105	0.623290105	NA	MS	F	NA	NA	NA	NA	NA	serenelli17	A	1
KIC11467550	1.247	0.070292247	0.071589105	1.968	0.069641941	0.067955868	6146.0	58.0	58.0	-0.08	0.1	0.1	NA	3.945	0.018248288	0.018248288	NA	5.592	0.484249155	0.484249155	NA	MS	F	NA	NA	NA	NA	NA	serenelli17	A	1
KIC11502597	1.08	0.19	0.11	1.61	0.11	0.07	5798.0	59.0	59.0	-0.1	0.15	0.1	NA	4.061	0.012	0.012	NA	2.332	0.208250395	0.208250395	NA	MS	G	NA	NA	NA	NA	NA	C14sdss	A	1
KIC11506988	1.251	0.168077363	0.114284732	1.872	0.067742158	0.064350602	6438.0	289.0	289.0	-0.23	0.1	0.1	NA	3.994	0.027892651	0.023086793	NA	6.784	0.616199473	0.616199473	NA	MS	F	NA	NA	NA	NA	NA	serenelli17	A	1
KIC11507653	1.17	0.108503456	0.063007936	1.641	0.049396356	0.049396356	5916.0	74.0	74.0	0.112	0.1	0.1	NA	4.078	0.024041631	0.022135944	NA	3.45	0.320121102	0.320121102	NA	MS	G	NA	NA	NA	NA	NA	serenelli17	A	1
KIC11611414	1.272	0.078517514	0.107377838	1.706	0.059481089	0.058591808	6279.0	55.0	55.0	-0.074	0.1	0.1	NA	4.074	0.02184033	0.02184033	NA	4.404	0.399251916	0.399251916	NA	MS	F	NA	NA	NA	NA	NA	serenelli17	A	1
KIC11708273	1.07	0.18	0.12	1.56	0.09	0.07	5959.0	96.0	96.0	0.24	0.15	0.1	NA	4.081	0.023	0.022	NA	3.277	0.28619582	0.28619582	NA	MS	G	NA	NA	NA	NA	NA	C14sdss	A	1
KIC11713510	1.08	0.04472136	0.042059482	1.62	0.028284271	0.027586228	5941.0	58.0	58.0	-0.143	0.1	0.1	NA	4.052	0.006708204	0.006708204	NA	2.86	0.258193921	0.258193921	NA	MS	G	NA	NA	NA	NA	NA	serenelli17	A	1
KIC11723674	1.4	0.061400326	0.061400326	2.466	0.065306967	0.062609903	6246.0	63.0	63.0	-0.062	0.1	0.1	NA	3.799	0.01456022	0.015524175	NA	10.05	0.930950536	0.930950536	NA	MS	F	NA	NA	NA	NA	NA	serenelli17	A	1
KIC11757831	1.42	0.14	0.1	1.82	0.07	0.06	6754.0	70.0	70.0	-0.02	0.15	0.2	NA	4.07	0.014	0.014	NA	7.031	0.617434134	0.617434134	NA	MS	F	NA	NA	NA	NA	NA	C14sdss	A	1
KIC11817562	1.448	0.081541401	0.073409809	2.477	0.10374006	0.093300589	6247.0	58.0	58.0	0.059	0.1	0.1	NA	3.809	0.02433105	0.02433105	NA	9.93	0.875129544	0.875129544	NA	MS	F	NA	NA	NA	NA	NA	serenelli17	A	1
KIC11853905	1.117	0.021	0.029	1.555	0.012	0.012	5781.0	76.0	76.0	0.177	0.072111026	0.072111026	NA	4.102	0.005	0.004	NA	2.505	0.142	0.124	NA	MS	G	NA	NA	NA	NA	NA	silva15	A	1
KIC11862119	1.17	0.15	0.13	1.52	0.09	0.08	6271.0	56.0	56.0	-0.38	0.15	0.15	NA	4.141	0.018	0.018	NA	2.733	0.242536025	0.242536025	NA	MS	F	NA	NA	NA	NA	NA	C14sdss	A	1
KIC11904151	0.918	0.011	0.019	1.066	0.006	0.009	5647.0	74.0	74.0	-0.114	0.072111026	0.072111026	NA	4.344	0.003	0.003	NA	1.063	0.032	0.034	NA	MS	G	NA	NA	NA	NA	NA	silva15	A	1
