,number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
64,64,3.7118527274187914,2026-06-04 16:36:20.035443,2026-06-04 16:36:23.413779,0 days 00:00:03.378336,0.023266615302902003,5,1,938,0.0022539030675094436,0.04213054183677392,0.5284242075626011,COMPLETE
65,65,3.7332812535622595,2026-06-04 16:36:23.416600,2026-06-04 16:36:25.887421,0 days 00:00:02.470821,0.034318019084010935,4,1,873,0.009309561412260473,0.07647233009454708,0.627908838988045,COMPLETE
66,66,3.803470170302668,2026-06-04 16:36:25.890215,2026-06-04 16:36:27.706897,0 days 00:00:01.816682,0.022842367927671633,4,2,563,0.0054814013043495155,0.012622319691599743,0.6897080412337995,COMPLETE
67,67,3.800661275604876,2026-06-04 16:36:27.709441,2026-06-04 16:36:32.511813,0 days 00:00:04.802372,0.029122920060528433,4,2,802,0.0015618026606261464,0.03738845415013086,0.6495893364575298,COMPLETE
68,68,3.6960843973432906,2026-06-04 16:36:32.514471,2026-06-04 16:36:35.978643,0 days 00:00:03.464172,0.020183410333497367,5,1,998,0.0034866678082946727,0.0034945344496027553,0.5418314784950827,COMPLETE
69,69,3.658580868370084,2026-06-04 16:36:35.981338,2026-06-04 16:36:39.645774,0 days 00:00:03.664436,0.012932424554637587,6,1,823,0.0024557881422537934,0.004519051077834074,0.5495253440342718,COMPLETE
70,70,3.7282693481810454,2026-06-04 16:36:39.648864,2026-06-04 16:36:42.431808,0 days 00:00:02.782944,0.02068403892382206,4,1,937,0.006878090283422179,0.004400915109583267,0.5081582172020782,COMPLETE
71,71,3.8297051430394093,2026-06-04 16:36:42.434461,2026-06-04 16:36:44.140420,0 days 00:00:01.705959,0.015668339270488815,3,1,828,0.015577036160742373,0.005835624425162498,0.5531067345122638,COMPLETE
72,72,3.72378143718835,2026-06-04 16:36:44.143503,2026-06-04 16:36:47.853673,0 days 00:00:03.710170,0.014262712468354298,5,2,769,0.001169450068626201,0.0024293770723735784,0.5620340527699642,COMPLETE
73,73,3.700927576119952,2026-06-04 16:36:47.856484,2026-06-04 16:36:50.430609,0 days 00:00:02.574125,0.023396967966361305,6,1,556,0.002118247673984139,0.00536309325376126,0.5049797575753561,COMPLETE
74,74,3.7193100619773176,2026-06-04 16:36:50.433851,2026-06-04 16:36:52.171343,0 days 00:00:01.737492,0.03630467326989412,6,2,401,0.0011280047870775838,0.005030277216973085,0.5360642811420022,COMPLETE
75,75,3.752303219170538,2026-06-04 16:36:52.174230,2026-06-04 16:36:52.977051,0 days 00:00:00.802821,0.023602564774316718,4,1,301,0.0016168910438968394,0.002971925829210335,0.5297797364332283,COMPLETE
76,76,3.7514395216475216,2026-06-04 16:36:52.979649,2026-06-04 16:36:55.711750,0 days 00:00:02.732101,0.016762759780595337,6,2,493,0.006816283817449256,0.021520829590242457,0.5468855966194754,COMPLETE
77,77,3.8887405213247064,2026-06-04 16:36:55.714443,2026-06-04 16:36:57.005297,0 days 00:00:01.290854,0.05520026187495719,7,5,271,0.007010057996758322,0.0011159686704256967,0.6137340437568164,COMPLETE
78,78,3.815445635289838,2026-06-04 16:36:57.007869,2026-06-04 16:37:02.101869,0 days 00:00:05.094000,0.025680005016875722,7,2,896,0.004173232488258818,0.007985625121454098,0.556003312759999,COMPLETE
79,79,3.804871337217963,2026-06-04 16:37:02.104533,2026-06-04 16:37:03.305631,0 days 00:00:01.201098,0.047626982339478076,5,5,390,0.0013735787098823281,0.022150442679225068,0.513018960825693,COMPLETE
80,80,3.7189303017493507,2026-06-04 16:37:03.308122,2026-06-04 16:37:06.087317,0 days 00:00:02.779195,0.03272643703639654,7,1,400,0.0026857668527386844,0.0030142914856183456,0.6757538191208327,COMPLETE
81,81,3.726909843839124,2026-06-04 16:37:06.089916,2026-06-04 16:37:06.962916,0 days 00:00:00.873000,0.047526948487142805,5,1,233,0.00280489777260133,0.09715970916352022,0.5419976163701987,COMPLETE
82,82,3.773349402804642,2026-06-04 16:37:06.965573,2026-06-04 16:37:08.785201,0 days 00:00:01.819628,0.052810000967997726,7,2,338,0.029583421924329334,0.002250840524973224,0.5774588737688212,COMPLETE
83,83,3.7265533947914045,2026-06-04 16:37:08.787760,2026-06-04 16:37:13.912611,0 days 00:00:05.124851,0.01057918389516206,7,2,959,0.0015856476085719404,0.001260601795939879,0.5871383635650474,COMPLETE
84,84,3.7958705228688983,2026-06-04 16:37:13.915232,2026-06-04 16:37:15.769832,0 days 00:00:01.854600,0.06534260346720307,6,2,458,0.001746969979341663,0.0027549229727510927,0.5180460738115062,COMPLETE
85,85,3.8212351892057583,2026-06-04 16:37:15.772441,2026-06-04 16:37:18.786373,0 days 00:00:03.013932,0.07498958827849328,5,2,970,0.0024361270900769803,0.0017651004721707057,0.6268031808659391,COMPLETE
86,86,4.140799909470326,2026-06-04 16:37:18.789188,2026-06-04 16:37:20.319686,0 days 00:00:01.530498,0.017663855121773857,8,3,209,0.003492170194757935,0.010091984331782586,0.6008287658472795,COMPLETE
87,87,3.731276476418272,2026-06-04 16:37:20.322349,2026-06-04 16:37:21.676242,0 days 00:00:01.353893,0.04126555760788296,6,2,291,0.0010824184774375907,0.007073700935861112,0.8051181860523678,COMPLETE
88,88,3.702248302764476,2026-06-04 16:37:21.678939,2026-06-04 16:37:24.246385,0 days 00:00:02.567446,0.03758475592934424,6,1,566,0.001089981239394653,0.0018047928282581244,0.6136949808611506,COMPLETE
89,89,3.726578382748992,2026-06-04 16:37:24.249054,2026-06-04 16:37:26.880282,0 days 00:00:02.631228,0.014157985729563392,7,2,497,0.0038797665928650333,0.0011817687870468649,0.5239275234297972,COMPLETE
90,90,3.690646738330758,2026-06-04 16:37:26.882953,2026-06-04 16:37:30.088721,0 days 00:00:03.205768,0.01221481266218506,5,1,744,0.0010141075378813915,0.029398153390304972,0.513944019670781,COMPLETE
91,91,3.7177593216248384,2026-06-04 16:37:30.257775,2026-06-04 16:37:35.681575,0 days 00:00:05.423800,0.01243392476959591,6,3,618,0.0014117083127880806,0.06989519640207037,0.5484982630262671,COMPLETE
92,92,3.876374565775727,2026-06-04 16:37:35.684111,2026-06-04 16:37:38.754124,0 days 00:00:03.070013,0.0189196345328106,4,6,980,0.02546960582917489,0.0011853237508124782,0.7061014630901818,COMPLETE
93,93,3.7227552975881353,2026-06-04 16:37:38.756788,2026-06-04 16:37:42.152955,0 days 00:00:03.396167,0.042124304622582896,6,1,707,0.010357265635974255,0.005331999683148378,0.6283737265762421,COMPLETE
94,94,3.7378590383772177,2026-06-04 16:37:42.155562,2026-06-04 16:37:44.187915,0 days 00:00:02.032353,0.0164117473348779,5,2,632,0.0011035667176880386,0.13197859024229583,0.5419573947836396,COMPLETE
95,95,3.7195595954827647,2026-06-04 16:37:44.190544,2026-06-04 16:37:46.571139,0 days 00:00:02.380595,0.02674720337589476,5,1,715,0.002499436833599965,0.00882713941765259,0.5779261899819182,COMPLETE
96,96,3.7757913634436036,2026-06-04 16:37:46.573732,2026-06-04 16:37:49.413581,0 days 00:00:02.839849,0.012560187003176519,5,4,992,0.00335720056601304,0.007073746130432346,0.5516817187521724,COMPLETE
97,97,3.7911642629188216,2026-06-04 16:37:49.416037,2026-06-04 16:37:52.221725,0 days 00:00:02.805688,0.013690688357004757,7,5,621,0.0010283317348448303,0.03878827222448911,0.5816271130615056,COMPLETE
98,98,3.667999443081783,2026-06-04 16:37:52.224283,2026-06-04 16:37:56.386428,0 days 00:00:04.162145,0.014231631480049751,6,1,960,0.0027742756122634397,0.02199062130664551,0.5705752542759455,COMPLETE
99,99,3.7051175076054834,2026-06-04 16:37:56.389131,2026-06-04 16:37:59.319873,0 days 00:00:02.930742,0.015441179301150559,5,1,816,0.0026549957968412595,0.059321106818722935,0.5297433400234345,COMPLETE
